"","station.id","nei.name","2020","2019","2018","2017","2016","geometry"
"1","116","Chelsea",349,338,NA,278,290,c(-74.00149746, 40.74177603)
"2","119","Fort Greene",5,3,4,5,34,c(-73.97803415, 40.69608941)
"3","120","Bedford Stuyvesant",13,5,9,15,11,c(-73.95928168, 40.68676793)
"4","127","West Village",1086,1408,1222,1105,744,c(-74.00674436, 40.73172428)
"5","128","SoHo",1023,1418,1080,1247,908,c(-74.00297088, 40.72710258)
"6","137","Midtown",NA,NA,NA,NA,NA,c(-73.972924, 40.761628)
"7","143","Brooklyn Heights",89,117,97,118,104,c(-73.99337909, 40.69239502)
"8","144","Fort Greene",22,24,15,12,31,c(-73.98068914, 40.69839895)
"9","146","Tribeca",1144,2512,2022,1799,1458,c(-74.0091059, 40.71625008)
"10","147","Tribeca",NA,NA,NA,NA,NA,c(-74.01121978, 40.71542197)
"11","150","East Village",141,191,100,132,96,c(-73.98085795, 40.7208736)
"12","151","Little Italy",1056,1620,1320,1412,1340,c(-73.997249007225, 40.722103786686)
"13","152","Tribeca",47,NA,NA,951,829,c(-74.00910627, 40.71473993)
"14","153","Murray Hill",NA,NA,NA,NA,NA,c(-73.9816324043, 40.752062307)
"15","157","Brooklyn Heights",94,43,34,107,51,c(-73.99612349, 40.69089272)
"16","161","Greenwich Village",450,746,123,734,614,c(-73.99810231, 40.72917025)
"17","164","Turtle Bay",46,65,74,36,37,c(-73.97032517, 40.75323098)
"18","167","Murray Hill",41,91,67,79,141,c(-73.97604882, 40.7489006)
"19","168","Flatiron District",46,370,288,354,219,c(-73.99456405, 40.73971301)
"20","173","Midtown",156,93,101,136,88,c(-73.9845272898674, 40.7606832709659)
"21","174","Gramercy",119,133,51,73,78,c(-73.97738662, 40.7381765)
"22","195","Financial District",384,1645,1121,1038,850,c(-74.01043382, 40.70905623)
"23","2000","DUMBO",150,201,208,174,168,c(-73.98940236, 40.70255088)
"24","2001","Navy Yard",NA,NA,NA,NA,NA,c(-73.979927, 40.699773)
"25","2002","Williamsburg",79,169,47,41,39,c(-73.963198, 40.716887)
"26","2003","Stuyvesant Town",185,128,85,165,70,c(-73.9805442094803, 40.7338121919663)
"27","2004","SoHo",NA,NA,NA,NA,NA,c(-74.004704, 40.724399)
"28","2005","Williamsburg",NA,NA,NA,NA,NA,c(-73.97100056, 40.70531194)
"29","2006","Central Park",101,60,39,48,27,c(-73.97634151, 40.76590936)
"30","2008","Battery Park",1866,2069,1812,1986,1257,c(-74.01677685, 40.70569254)
"31","2009","Lower East Side",286,505,532,412,313,c(-73.99682619, 40.71117444)
"32","2010","SoHo",544,NA,752,697,506,c(-74.002381414175, 40.7217000523561)
"33","2012","Gramercy",84,55,41,52,62,c(-73.976806, 40.739445)
"34","2017","Tudor City",61,27,NA,NA,52,c(-73.97121414, 40.75022392)
"35","2021","Clinton",100,141,98,158,121,c(-73.98859651, 40.75929124)
"36","2022","Upper East Side",8,NA,6,3,2,c(-73.959223, 40.759107)
"37","2023","Midtown",NA,NA,NA,NA,NA,c(-73.97031366, 40.75968085)
"38","212","Chelsea",336,596,481,495,422,c(-74.00681753, 40.74334935)
"39","216","Brooklyn Heights",35,25,23,48,23,c(-73.99548059, 40.70037867)
"40","217","DUMBO",130,151,126,189,199,c(-73.99383605, 40.70277159)
"41","223","Greenwich Village",316,380,234,249,NA,c(-73.99994661, 40.73781509)
"42","224","Financial District",572,769,NA,NA,495,c(-74.00552427, 40.71146364)
"43","225","West Village",NA,NA,NA,NA,NA,c(-74.00803013, 40.74195138)
"44","228","Turtle Bay",33,44,47,60,57,c(-73.971878855, 40.7546011026)
"45","229","NoHo",451,723,816,957,792,c(-73.99379025, 40.72743423)
"46","232","Downtown",NA,NA,NA,NA,NA,c(-73.99014892, 40.69597683)
"47","236","East Village",254,464,318,259,294,c(-73.98713956, 40.7284186)
"48","237","East Village",259,341,287,278,218,c(-73.98672378, 40.73047309)
"49","238","West Village",597,820,647,751,633,c(-74.00859207, 40.7361967)
"50","239","Fort Greene",48,33,10,11,31,c(-73.9813018, 40.69196566)
"51","241","Fort Greene",60,42,15,28,27,c(-73.97493121, 40.68981035)
"52","242","Fort Greene",9,12,18,37,26,c(-73.973736, 40.697787)
"53","243","Fort Greene",NA,NA,NA,NA,NA,c(-73.979382, 40.688226)
"54","244","Clinton Hill",19,8,13,49,22,c(-73.96536851, 40.69196035)
"55","245","Fort Greene",35,16,10,23,14,c(-73.97703874, 40.69327018)
"56","247","West Village",551,707,263,213,166,c(-74.00483091, 40.73535398)
"57","248","Tribeca",433,573,573,666,483,c(-74.00771779, 40.72185379)
"58","249","Tribeca",548,1151,996,1336,972,c(-74.0090009, 40.71870987)
"59","250","Little Italy",483,523,NA,NA,NA,c(-73.99565293, 40.72456089)
"60","251","Little Italy",776,917,617,713,722,c(-73.99480012, 40.72317958)
"61","252","Greenwich Village",361,396,314,335,197,c(-73.99852205, 40.73226398)
"62","253","Greenwich Village",NA,NA,NA,NA,NA,c(-73.99453948, 40.73543934)
"63","254","Greenwich Village",209,331,202,147,169,c(-73.99800419, 40.73532427)
"64","255","Sunset Park",NA,NA,NA,NA,NA,c(-74.01651, 40.646768)
"65","257","Tribeca",1298,3481,1943,2443,1195,c(-74.00247214, 40.71939226)
"66","258","Clinton Hill",33,9,17,49,12,c(-73.96885458, 40.68940747)
"67","259","Financial District",384,362,395,370,261,c(-74.01234218, 40.70122128)
"68","260","Financial District",458,418,334,318,179,c(-74.01167797, 40.70365182)
"69","261","Downtown",76,126,30,96,56,c(-73.98362464, 40.69474881)
"70","262","Fort Greene",34,39,30,63,13,c(-73.9737299, 40.6917823)
"71","263","Chinatown",NA,NA,NA,NA,NA,c(-73.9962244033813, 40.7175908180598)
"72","264","Financial District",635,711,640,608,637,c(-74.00731853, 40.70706456)
"73","265","Lower East Side",225,403,354,373,316,c(-73.99147535, 40.72229346)
"74","266","East Village",NA,NA,NA,NA,NA,c(-73.97574813, 40.72368361)
"75","267","Garment District",63,68,59,73,40,c(-73.98765428, 40.75097711)
"76","268","Little Italy",517,1125,1162,1138,1116,c(-73.99973337, 40.71910537)
"77","270","Fort Greene",16,22,27,22,36,c(-73.97178913, 40.69308257)
"78","274","Fort Greene",43,31,14,35,11,c(-73.976682, 40.68691865)
"79","275","Clinton Hill",28,3,20,18,6,c(-73.96563307, 40.68650065)
"80","276","Tribeca",1099,1601,1406,1535,1281,c(-74.0104554, 40.71748752)
"81","278","Fort Greene",73,83,24,64,55,c(-73.98476437, 40.69766564)
"82","279","Financial District",NA,NA,NA,NA,NA,c(-74.00167, 40.707873)
"83","280","Greenwich Village",302,453,240,274,209,c(-73.99510132, 40.73331967)
"84","281","Midtown",38,73,68,115,42,c(-73.97371465, 40.7643971)
"85","282","Williamsburg",29,11,7,10,34,c(-73.9684152603149, 40.7076449441757)
"86","284","West Village",507,561,NA,520,521,c(-74.0026376103, 40.7390169121)
"87","285","Greenwich Village",499,654,496,636,438,c(-73.99074142, 40.73454567)
"88","289","Bedford Stuyvesant",4,5,28,5,1,c(-73.95881081, 40.6845683)
"89","291","Lower East Side",134,212,122,192,89,c(-73.984844, 40.713126)
"90","293","Greenwich Village",328,535,556,543,49,c(-73.9910262823105, 40.7302066052995)
"91","295","Lower East Side",327,469,319,280,340,c(-73.99293911, 40.71406667)
"92","296","Chinatown",NA,NA,NA,NA,NA,c(-73.9970468, 40.71413089)
"93","297","Gramercy",289,238,159,155,106,c(-73.986923, 40.734232)
"94","298","Downtown",40,18,41,NA,33,c(-73.9796772, 40.68683208)
"95","300","East Village",NA,NA,NA,NA,NA,c(-73.990214, 40.728145)
"96","3002","Battery Park",NA,NA,NA,NA,NA,c(-74.015756, 40.711512)
"97","301","East Village",320,389,221,268,287,c(-73.98368779, 40.72217444)
"98","3016","Williamsburg",87,79,32,50,24,c(-73.9616507291794, 40.7203677529846)
"99","302","East Village",86,90,69,54,124,c(-73.97793172, 40.72082834)
"100","303","SoHo",633,1071,887,896,650,c(-73.99949601, 40.72362738)
"101","304","Financial District",684,1190,1000,1277,961,c(-74.01361706, 40.70463334)
"102","3041","Bedford Stuyvesant",13,8,23,1,NA,c(-73.94142771, 40.67890679)
"103","3042","Bedford Stuyvesant",16,50,42,15,3,c(-73.9298911, 40.6794268)
"104","3043","Bedford Stuyvesant",6,2,2,1,NA,c(-73.934903, 40.6814598)
"105","3044","Bedford Stuyvesant",8,NA,NA,1,NA,c(-73.938475, 40.6800105)
"106","3046","Bedford Stuyvesant",2,3,5,7,NA,c(-73.938037, 40.682601)
"107","3047","Bedford Stuyvesant",7,1,3,2,1,c(-73.944118, 40.6823687)
"108","3048","Bedford Stuyvesant",9,7,NA,2,6,c(-73.94977, 40.68402)
"109","3049","Clinton Hill",23,28,22,27,25,c(-73.96304, 40.68488)
"110","305","Sutton Place",76,88,43,54,27,c(-73.96724467, 40.76095756)
"111","3050","Bedford Stuyvesant",4,1,6,8,3,c(-73.94111, 40.6851532)
"112","3052","Bedford Stuyvesant",6,4,20,3,3,c(-73.935775, 40.686312)
"113","3053","Bedford Stuyvesant",3,5,10,6,2,c(-73.947915, 40.6900815)
"114","3054","Bedford Stuyvesant",3,2,5,4,9,c(-73.942061, 40.6894932)
"115","3055","Bedford Stuyvesant",9,8,5,3,2,c(-73.950916, 40.6883337)
"116","3056","Bedford Stuyvesant",11,11,3,8,2,c(-73.95133465, 40.69072549)
"117","3057","Bedford Stuyvesant",3,18,2,15,38,c(-73.9452416, 40.69128258)
"118","3058","Bedford Stuyvesant",17,8,6,1,1,c(-73.93705428, 40.69237074)
"119","3059","Bedford Stuyvesant",17,NA,NA,1,1,c(-73.939877, 40.6933982)
"120","306","Financial District",NA,NA,NA,NA,NA,c(-74.00530063, 40.70823502)
"121","3060","Bedford Stuyvesant",16,8,3,1,1,c(-73.94626915, 40.69425403)
"122","3061","Bedford Stuyvesant",3,1,5,NA,NA,c(-73.94371094, 40.69622937)
"123","3062","Bedford Stuyvesant",16,6,2,1,NA,c(-73.94954908, 40.69539817)
"124","3063","Bedford Stuyvesant",3,12,7,3,NA,c(-73.95238108, 40.69527008)
"125","3064","Bedford Stuyvesant",2,7,21,24,17,c(-73.93756926, 40.69681963)
"126","3065","Williamsburg",4,2,2,NA,NA,c(-73.95032283, 40.70029511)
"127","3066","Bedford Stuyvesant",3,NA,NA,3,1,c(-73.94708417, 40.69957608)
"128","3067","Williamsburg",4,1,1,6,2,c(-73.9437303, 40.7016657)
"129","3068","Williamsburg",13,54,2,9,2,c(-73.940636, 40.7031724)
"130","3069","Williamsburg",1,6,2,1,NA,c(-73.94818595, 40.70411791)
"131","307","Lower East Side",530,873,537,453,540,c(-73.98990025, 40.71427487)
"132","3070","Williamsburg",4,28,2,2,1,c(-73.94407279, 40.70510918)
"133","3071","Williamsburg",6,9,11,NA,2,c(-73.94976519, 40.70538077)
"134","3072","Williamsburg",9,9,14,3,2,c(-73.94644578, 40.70583339)
"135","3073","Williamsburg",NA,NA,NA,NA,NA,c(-73.95441667, 40.70691254)
"136","3074","Williamsburg",33,11,6,7,10,c(-73.94016171, 40.70767788)
"137","3075","Williamsburg",2,NA,NA,3,2,c(-73.95796783, 40.70708701)
"138","3076","Williamsburg",17,15,11,3,15,c(-73.9448625, 40.70870368)
"139","3077","Williamsburg",46,59,72,12,15,c(-73.95095259, 40.70877084)
"140","3078","Williamsburg",20,38,8,11,7,c(-73.9606314897537, 40.7092482627616)
"141","3079","Williamsburg",NA,NA,NA,NA,NA,c(-73.94714303, 40.71103537)
"142","308","Lower East Side",526,717,599,579,524,c(-73.99851193, 40.71307916)
"143","3080","Williamsburg",85,43,22,34,13,c(-73.95608, 40.70934)
"144","3081","Williamsburg",30,19,10,5,5,c(-73.944024, 40.711863)
"145","3082","Williamsburg",46,37,37,14,19,c(-73.95141312, 40.71167351)
"146","3083","Williamsburg",7,7,55,7,6,c(-73.94100005, 40.71247661)
"147","3084","Williamsburg",NA,NA,NA,NA,NA,c(-73.94792458, 40.71348658)
"148","3085","Williamsburg",49,10,NA,47,43,c(-73.95739, 40.71469)
"149","3086","Williamsburg",11,4,5,14,4,c(-73.944507, 40.715143)
"150","3087","Williamsburg",17,28,4,5,12,c(-73.95234386, 40.71413311)
"151","3088","Williamsburg",17,16,3,12,22,c(-73.952029, 40.7160751)
"152","3089","Williamsburg",NA,NA,NA,NA,NA,c(-73.9482021331787, 40.7173184038558)
"153","309","Tribeca",983,1925,1179,1114,590,c(-74.013012, 40.7149787)
"154","3090","Williamsburg",NA,NA,NA,NA,NA,c(-73.95600096, 40.71774592)
"155","3091","Williamsburg",NA,NA,NA,NA,NA,c(-73.94882, 40.71764)
"156","3092","Williamsburg",43,28,13,36,28,c(-73.95852515, 40.7190095)
"157","3093","Williamsburg",28,23,23,24,58,c(-73.95850939, 40.71745169)
"158","3094","Williamsburg",17,3,4,5,5,c(-73.94485918, 40.7169811)
"159","3095","Williamsburg",34,1,3,NA,NA,c(-73.94500379, 40.71929301)
"160","3096","Williamsburg",28,15,7,5,3,c(-73.95242, 40.71924)
"161","3098","Greenpoint",NA,NA,NA,NA,NA,c(-73.94861, 40.71928)
"162","310","Boerum Hill",64,52,43,40,49,c(-73.98912867, 40.68926942)
"163","3100","Greenpoint",13,40,17,32,5,c(-73.947526216507, 40.7248125644002)
"164","3101","Williamsburg",10,35,9,11,9,c(-73.95484712, 40.72079821)
"165","3102","Greenpoint",7,11,20,5,9,c(-73.9504154, 40.72179134)
"166","3103","Williamsburg",NA,NA,NA,NA,NA,c(-73.95782357, 40.72153267)
"167","3105","Greenpoint",2,8,6,11,6,c(-73.955736, 40.724055)
"168","3106","Greenpoint",15,27,10,2,2,c(-73.94308, 40.72325)
"169","3107","Greenpoint",22,15,19,55,12,c(-73.95212324, 40.72311651)
"170","3108","Greenpoint",1,33,23,3,2,c(-73.94434, 40.72557)
"171","3109","Greenpoint",14,5,8,9,1,c(-73.95621, 40.72606)
"172","311","Lower East Side",329,459,374,392,297,c(-73.98802084, 40.7172274)
"173","3110","Greenpoint",13,8,44,2,NA,c(-73.95299117, 40.72708584)
"174","3111","Greenpoint",NA,NA,NA,NA,NA,c(-73.95064893, 40.7258483)
"175","3112","Greenpoint",16,20,10,44,48,c(-73.95779, 40.72906)
"176","3113","Greenpoint",16,4,12,14,7,c(-73.95394, 40.73026)
"177","3115","Greenpoint",9,20,35,43,26,c(-73.9550858, 40.73232194)
"178","3116","Greenpoint",8,10,3,9,2,c(-73.95826, 40.73266)
"179","3117","Greenpoint",5,4,2,3,4,c(-73.95866, 40.73564)
"180","3118","Greenpoint",4,4,2,1,2,c(-73.95284, 40.73555)
"181","3119","Hunters Point",2,3,4,1,1,c(-73.95411749, 40.74232744)
"182","312","Lower East Side",324,607,416,488,546,c(-73.989111, 40.722055)
"183","3120","Hunters Point",NA,NA,NA,NA,NA,c(-73.96044, 40.74161)
"184","3121","Hunters Point",1,2,NA,2,NA,c(-73.94733276, 40.74524768)
"185","3122","Hunters Point",1,1,1,NA,NA,c(-73.9558732509613, 40.7443632870669)
"186","3123","Sunnyside",NA,NA,NA,NA,NA,c(-73.93540375, 40.74469738)
"187","3124","Hunters Point",1,NA,NA,2,NA,c(-73.95451, 40.74731)
"188","3125","Hunters Point",1,NA,1,NA,NA,c(-73.94977234, 40.74708586)
"189","3126","Hunters Point",1,2,2,1,1,c(-73.9432635, 40.74718234)
"190","3127","Hunters Point",NA,NA,NA,NA,NA,c(-73.9521, 40.74966)
"191","3128","Hunters Point",1,NA,NA,1,3,c(-73.94594845, 40.75052534)
"192","3129","Astoria",8,4,5,4,1,c(-73.94073717, 40.75110165)
"193","313","Clinton Hill",22,23,23,26,68,c(-73.96751037, 40.69610226)
"194","3130","Astoria",9,NA,1,2,NA,c(-73.94335788, 40.75325964)
"195","3131","Upper East Side",12,5,5,8,3,c(-73.9622461795807, 40.7671284034954)
"196","3132","Midtown",45,45,32,49,19,c(-73.97109243, 40.76350532)
"197","3134","Upper East Side",33,12,9,19,12,c(-73.96526895, 40.76312584)
"198","3135","Upper East Side",18,12,4,5,20,c(-73.95772297, 40.77112927)
"199","3136","Upper East Side",90,42,14,9,NA,c(-73.971518, 40.766368)
"200","3137","Upper East Side",73,37,16,24,14,c(-73.96685276, 40.77282817)
"201","3138","Upper East Side",NA,NA,NA,NA,NA,c(-73.9617526531219, 40.774405455003)
"202","3139","Upper East Side",19,13,14,11,8,c(-73.9640942215919, 40.7711828754066)
"203","314","Brooklyn Heights",NA,NA,NA,NA,NA,c(-73.990539, 40.69383)
"204","3140","Upper East Side",24,24,22,10,45,c(-73.9535166, 40.77140426)
"205","3141","Upper East Side",74,35,33,20,11,c(-73.95818491, 40.76500525)
"206","3142","Upper East Side",79,21,28,20,5,c(-73.96094022, 40.7612274)
"207","3143","Upper East Side",43,34,10,11,24,c(-73.9642739295959, 40.7763214218227)
"208","3144","Upper East Side",24,NA,NA,3,2,c(-73.9590097, 40.77677702)
"209","3145","Upper East Side",29,25,17,15,30,c(-73.95772073, 40.77862688)
"210","3146","Upper East Side",14,6,9,23,12,c(-73.9567526, 40.77573034)
"211","3147","Upper East Side",16,2,10,5,4,c(-73.95407149, 40.77801203)
"212","3148","Upper East Side",29,NA,5,2,2,c(-73.95068615, 40.77565541)
"213","315","Financial District",562,1101,780,639,344,c(-74.00670227, 40.70355377)
"214","3150","Upper East Side",7,15,3,5,1,c(-73.94803392, 40.77536905)
"215","3151","Upper East Side",16,3,5,11,4,c(-73.94989233, 40.7728384)
"216","3152","Upper East Side",4,3,2,10,6,c(-73.96119945, 40.76873687)
"217","3153","Upper East Side",NA,NA,NA,NA,NA,c(-73.9591026306152, 40.7681754674225)
"218","3154","Upper East Side",15,17,8,NA,5,c(-73.95856158, 40.77314236)
"219","3155","Upper East Side",NA,NA,NA,NA,NA,c(-73.96648977, 40.76440023)
"220","3156","Upper East Side",21,11,20,11,11,c(-73.95348296, 40.76663814)
"221","3157","Upper East Side",8,2,NA,2,2,c(-73.94446054, 40.77518615)
"222","3158","Upper West Side",99,135,77,109,66,c(-73.98261428, 40.77163851)
"223","3159","Upper West Side",58,95,47,69,48,c(-73.98266566, 40.77492513)
"224","316","Financial District",616,1176,800,102,615,c(-74.00653609, 40.70955958)
"225","3160","Central Park",42,38,16,22,26,c(-73.97374737, 40.77896784)
"226","3161","Upper West Side",46,87,29,60,40,c(-73.9772853255272, 40.7801839724239)
"227","3162","Upper West Side",NA,NA,NA,NA,NA,c(-73.98093133, 40.78339981)
"228","3163","Central Park",71,42,23,26,26,c(-73.97782542, 40.7734066)
"229","3164","Upper West Side",126,69,96,147,91,c(-73.97898475, 40.7770575)
"230","3165","Central Park",68,33,44,37,30,c(-73.9762057363987, 40.7757937668367)
"231","3166","Upper West Side",266,198,143,180,145,c(-73.9856243133545, 40.7805779901033)
"232","3167","Upper West Side",72,82,77,61,60,c(-73.9809304475784, 40.7796680900731)
"233","3168","Central Park",NA,NA,NA,NA,NA,c(-73.96961715, 40.78472675)
"234","3169","Upper West Side",126,76,103,148,111,c(-73.98128127, 40.78720869)
"235","317","East Village",244,254,228,159,256,c(-73.98185424, 40.72453734)
"236","3170","Upper West Side",54,28,18,12,19,c(-73.97283406, 40.78499979)
"237","3171","Upper West Side",58,20,29,63,19,c(-73.97667321, 40.78524672)
"238","3172","Upper West Side",38,12,10,30,23,c(-73.97754961, 40.7785669)
"239","3173","Upper West Side",368,205,121,201,261,c(-73.9888858795166, 40.777507027548)
"240","3175","Upper West Side",65,77,29,19,46,c(-73.98288594, 40.77748046)
"241","3176","Upper West Side",NA,NA,NA,NA,NA,c(-73.98753759, 40.77452835)
"242","3177","Upper West Side",32,56,35,40,48,c(-73.977112, 40.7867947)
"243","3178","Upper West Side",159,139,88,93,99,c(-73.98362492, 40.78414472)
"244","3179","Bedford Stuyvesant",1,NA,1,2,NA,c(-73.941342, 40.698617)
"245","3180","Brooklyn Heights",NA,NA,NA,NA,NA,c(-73.99712, 40.69878)
"246","3182","Governors Island",4,NA,3,NA,NA,c(-74.016966, 40.686931)
"247","319","Financial District",1435,1849,1447,1296,668,c(-74.009447, 40.711066)
"248","320","Tribeca",1485,1794,1398,1668,1476,c(-74.005549, 40.717571)
